iter	Passed	Remaining
0	1433	1432084
1	2869	1431675
2	4330	1439284
3	5772	1437285
4	7239	1440603
5	8696	1440699
6	10257	1455092
7	11788	1461782
8	13349	1469881
9	14826	1467812
10	16285	1464228
11	17712	1458317
12	19147	1453739
13	20601	1450946
14	22023	1446231
15	23458	1442705
16	24911	1440449
17	26424	1441590
18	27965	1443927
19	29566	1448737
20	31009	1445635
21	32432	1441756
22	33900	1440048
23	35294	1435297
24	36753	1433387
25	38299	1434762
26	39727	1431643
27	41246	1431843
28	42753	1431517
29	44283	1431818
30	45818	1432187
31	47213	1428207
32	48648	1425551
33	50086	1423032
34	51523	1420574
35	52942	1417673
36	54362	1414881
37	55785	1412262
38	57236	1410357
39	58825	1411815
40	60353	1411678
41	61845	1410672
42	63274	1408227
43	64733	1406475
44	66161	1404087
45	67581	1401575
46	68956	1398203
47	70350	1395293
48	71742	1392389
49	73173	1390298
50	74711	1390222
51	76211	1389403
52	77687	1388114
53	79074	1385273
54	80519	1383476
55	81955	1381529
56	83324	1378516
57	84783	1377006
58	86206	1374923
59	87575	1372015
60	88990	1369865
61	90492	1369070
62	92072	1369391
63	93557	1368274
64	95046	1367211
65	96429	1364617
66	97850	1362609
67	99238	1360152
68	100593	1357277
69	101977	1354844
70	103415	1353143
71	104820	1351018
72	106343	1350419
73	107838	1349443
74	109366	1348854
75	110789	1346967
76	112164	1344514
77	113587	1342659
78	114981	1340479
79	116361	1338161
80	117749	1335943
81	119112	1333481
82	120520	1331531
83	121975	1330108
84	123490	1329341
85	124992	1328411
86	126441	1326907
87	127777	1324239
88	129157	1322053
89	130566	1320176
90	131900	1317554
91	133273	1315352
92	134663	1313326
93	136033	1311128
94	137395	1308877
95	138938	1308340
96	140430	1307305
97	141954	1306557
98	143345	1304591
99	144766	1302900
100	146158	1300954
101	147556	1299078
102	148981	1297444
103	150337	1295214
104	151715	1293190
105	151862	1280801
106	153371	1280010
107	154907	1279418
108	156372	1278236
109	157920	1277717
110	159288	1275741
111	160674	1273917
112	162081	1272271
113	163553	1271124
114	164904	1269047
115	165276	1259524
116	166657	1257764
117	168058	1256164
118	169470	1254650
119	171016	1254119
120	172557	1253539
121	174028	1252434
122	174105	1241387
123	175526	1240013
124	176947	1238633
125	178373	1237288
126	179711	1235341
127	181034	1233300
128	182463	1231985
129	183854	1230408
130	185333	1229427
131	185361	1218890
132	186843	1217996
133	188340	1217188
134	189799	1216120
135	191212	1214763
136	192618	1213356
137	193988	1211726
138	195368	1210160
139	196751	1208614
140	198152	1207183
141	199497	1205412
142	200865	1203788
143	200905	1194270
144	200955	1184945
145	202573	1184914
146	203994	1183725
147	204011	1174446
148	205517	1173792
149	205916	1166860
150	207329	1165710
151	208739	1164548
152	210089	1163045
153	210293	1155247
154	210346	1146726
155	210380	1138214
156	210405	1129755
157	211853	1128991
158	213235	1127866
159	213270	1119671
160	214633	1118493
161	214658	1110395
162	215411	1106132
163	216819	1105250
164	218308	1104775
165	219847	1104537
166	221338	1104042
167	222721	1103003
168	224130	1102087
169	225576	1101346
170	225611	1093755
171	227024	1092886
172	228490	1092262
173	229877	1091257
174	231249	1090176
175	232658	1089266
176	234100	1088500
177	235600	1087995
178	237125	1087599
